Id_studenta,Imie,Nazwisko,Uczelnia,Miejsce_zam,Rok_studiow,Dochod_na_osobe,,,miasta,
250,Kamil,Dabrowski,Politechnika Informatyczno-Elektroniczna,Chorzow,I,749,,,Chorzow,
251,Marek,Majchrowicz,Politechnika Krolewska,Lubliniec,I,2405,,,Lubliniec,
252,Olgierd,Dudzinski,Uniwersytet Krolewski,Poznan,I,3136,,,Poznan,
253,Anna,Sawiciak,Uniwersytet Ekonomiczny,Wolbrom,I,2285,,,Wolbrom,
254,Paulina,Raszczyk,Uniwersytet Krolewski,Deblin,I,2678,,,Deblin,
255,Fryderyka,Slowik,Politechnika Informatyczno-Elektroniczna,Zgorzelec,IV,438,,,Zgorzelec,
256,Mieszko,Cisna,Uniwersytet Krolewski,Sosnowiec,II,3313,,,Sosnowiec,
257,Janusz,Waz,Uniwersytet Ekonomiczny,Tarnobrzeg,I,2917,,,Tarnobrzeg,
258,Wojciech,Bugaj,Politechnika Informatyczno-Elektroniczna,Ruda Slaska,I,2657,,,Ruda Slaska,
259,Marcin,Slomczynski,Uniwersytet Krolewski,Sosnicowice,II,1869,,,Sosnicowice,
260,Franciszek,Laczynski,Uniwersytet Krolewski,Wadowice,V,2881,,,Wadowice,
261,Korneliusz,Adamecki,Wyzsza Szko�a Techniczna,Sucha Beskidzka,III,1726,,,Sucha Beskidzka,
262,Wawrzyniec,Kozina,Politechnika Informatyczno-Elektroniczna,Gdansk,I,2700,,,Gdansk,
263,Pawel,Wojcicki,Uniwersytet Krolewski,Rajcza,V,1981,,,Rajcza,
264,Klemens,Radzik,Uniwersytet Krolewski,Lublin,II,672,,,Lublin,
265,Karol,Mazurowski,Uniwersytet Krolewski,Wojkowice,IV,719,,,Wojkowice,
266,Krzysztof,Antczak,Uniwersytet Ekonomiczny,Gieraltowice,I,2472,,,Gieraltowice,
267,Jerzy,Orowski,Politechnika Krolewska,Wisla,III,796,,,Wisla,
268,Alicja,Kobus,Politechnika Informatyczno-Elektroniczna,Rajcza,I,2409,,,Rajcza,
269,Adam,Michalak,Uniwersytet Pedagogiczny,Sosnicowice,I,1259,,,Sosnicowice,
270,Norbert,Boronski,Politechnika Informatyczno-Elektroniczna,Wadowice,I,1317,,,Wadowice,
271,Seweryn,Wawa,Politechnika Informatyczno-Elektroniczna,Kostrzyn,IV,1309,,,Kostrzyn,
272,Renata,Kaluza,Uniwersytet Rolniczy,Kuznia Raciborska,II,2790,,,Kuznia Raciborska,
273,Ewa,Berak,Uniwersytet Krolewski,Gorki Male,I,2110,,,Gorki Male,
274,Marcin,Bajdak,Politechnika Krolewska,Tarnow,I,2485,,,Tarnow,
275,Iwona,Wegier,Politechnika Informatyczno-Elektroniczna,Zawiercie,I,1344,,,Zawiercie,
276,Franciszek,Kusch,Uniwersytet Pedagogiczny,Deblin,V,1802,,,Deblin,
277,Lukasz,Klos,Uniwersytet Krolewski,Mikolajki,III,2482,,,Mikolajki,
278,Karolina,Weiss,Politechnika Informatyczno-Elektroniczna,Legnica,I,871,,,Legnica,
279,Tadeusz,Regulski,Politechnika Informatyczno-Elektroniczna,Gryfice,I,1075,,,Gryfice,
280,Beata,Jasinska,Uniwersytet Rolniczy,Siemianowice Slaskie,I,968,,,Siemianowice Slaskie,
281,Aleksander,Ogonowski,Uniwersytet Rolniczy,Koniakow,I,1229,,,Koniakow,
282,Eleonora,Kosa,Politechnika Informatyczno-Elektroniczna,Sanok,I,455,,,Sanok,
283,Adrian,Baka,Politechnika Informatyczno-Elektroniczna,Ruda Slaska,I,3195,,,Ruda Slaska,
284,Czeslawa,Bochenek,Politechnika Krolewska,Ogrodniki,I,1883,,,Ogrodniki,
285,Tomasz,Leganowski,Politechnika Krolewska,Bielsko - Biala,IV,2018,,,Bielsko - Biala,
286,Sebastian,Adalewski,Akademia Sztuk Pieknych,Chalupki,II,2821,,,Chalupki,
287,Bronislawa,Chmielewska,Uniwersytet Rolniczy,Glubczyce,IV,2931,,,Glubczyce,
288,Daria,Dyrbusz,Uniwersytet Krolewski,Alwernia,I,1779,,,Alwernia,
289,Olga,Gonerska,Uniwersytet Krolewski,Ledziny,I,1990,,,Ledziny,
290,Radoslaw,Niedziela,Politechnika Krolewska,Rabka,II,2283,,,Rabka,
291,Arkadiusz,Sokolowski,Politechnika Krolewska,Bytom,I,1964,,,Bytom,
292,Zofia,Bylska,Akademia Sztuk Pieknych,Dzierzoniow,II,1822,,,Dzierzoniow,
293,Slawomir,Rojek,Uniwersytet Krolewski,Plock,III,1093,,,Plock,
294,Robert,Pilski,Politechnika Informatyczno-Elektroniczna,Ruda Slaska,II,1756,,,Ruda Slaska,
295,Janina,Bernacik,Uniwersytet Ekonomiczny,Katowice,I,2356,,,Katowice,
296,Mateusz,Swierszczynski,Uniwersytet Rolniczy,Ustron,V,3080,,,Ustron,
297,Tomasz,Wan,Uniwersytet Krolewski,Bochnia,II,1258,,,Bochnia,
298,Alicja,Miskowiec,Politechnika Informatyczno-Elektroniczna,Koniakow,V,2730,,,Koniakow,
299,Piotr,Piwnik,Politechnika Krolewska,Katowice,I,1592,,,Katowice,
300,Jan,Bator,Politechnika Krolewska,Katowice,I,2738,,,Katowice,
301,Eleonora,Mrowka,Politechnika Informatyczno-Elektroniczna,Kuznia Raciborska,I,2064,,,Kuznia Raciborska,
302,Andrzej,Beki,Politechnika Krolewska,Tychy,I,465,,,Tychy,
303,Boleslawa,Kucharska,Uniwersytet Krolewski,Gliwice,V,1291,,,Gliwice,
304,Wojciech,Fujarewicz,Politechnika Informatyczno-Elektroniczna,Zabrze,II,2125,,,Zabrze,
305,Iwona,Grzybek,Politechnika Krolewska,Chorzow,I,787,,,Chorzow,
306,Maria,Zwojec,Uniwersytet Krolewski,Sosnowiec,I,2155,,,Sosnowiec,
307,Mateusz,Kandora,Uniwersytet Krolewski,Bedzin,I,3218,,,Bedzin,
308,Daniel,Barszcz,Uniwersytet Krolewski,Sanok,I,2273,,,Sanok,
309,Teresa,Grudzinska,Uniwersytet Krolewski,Swietochlowice,II,1283,,,Swietochlowice,
310,Franciszka,Nowicka,Uniwersytet Krolewski,Bytom,II,1863,,,Bytom,
311,Karolina,Bajerowicz,Uniwersytet Krolewski,Naleczow,I,1965,,,Naleczow,
312,Barbara,Wszedobyl,Uniwersytet Pedagogiczny,Chalupki,I,1182,,,Chalupki,
313,Izolda,Jaros,Politechnika Informatyczno-Elektroniczna,Jakuszyce,I,2207,,,Jakuszyce,
314,Grazyna,Gorska,Politechnika Krolewska,Zyrardow,V,1453,,,Zyrardow,
315,Piotr,Kacprzak,Uniwersytet Krolewski,Bielsko - Biala,I,983,,,Bielsko - Biala,
316,Grzegorz,Balon,Politechnika Informatyczno-Elektroniczna,Zakopane,III,917,,,Zakopane,
317,Zdzislawa,Modrzewska,Politechnika Krolewska,Mlynarze,III,2124,,,Mlynarze,
318,Aleksander,Biborski,Politechnika Informatyczno-Elektroniczna,Czestochowa,III,3254,,,Czestochowa,
319,Dominik,Felinski,Politechnika Informatyczno-Elektroniczna,Ogrodzieniec,V,2842,,,Ogrodzieniec,
320,Arkadiusz,Maciejewski,Politechnika Informatyczno-Elektroniczna,Zamosc,IV,1879,,,Zamosc,
321,Milosz,Ostrowski,Uniwersytet Krolewski,Limanowa,I,978,,,Limanowa,
322,Marzena,Skrzypek,Uniwersytet Sportu i Turystyki,Lazy,V,2409,,,Lazy,
323,Tomasz,Krawczyk,Politechnika Informatyczno-Elektroniczna,Sanok,II,1655,,,Sanok,
324,Andrzej,Knot,Uniwersytet Pedagogiczny,Jastrzebie-Zdroj,I,356,,,Jastrzebie-Zdroj,
325,Mateusz,Buczek,Politechnika Krolewska,Oswiecim,I,2275,,,Oswiecim,
326,Piotr,Tyborowski,Uniwersytet Krolewski,Katowice,III,2325,,,Katowice,
327,Klaudia,Kotowicz,Politechnika Informatyczno-Elektroniczna,Katowice,I,1950,,,Katowice,
328,Mateusz,Bartoszewski,Politechnika Informatyczno-Elektroniczna,Mikolow,I,2149,,,Mikolow,
329,Michal,Antkowicz,Uniwersytet Krolewski,Gliwice,I,2265,,,Gliwice,
330,Barbara,Bakan,Politechnika Informatyczno-Elektroniczna,Radom,I,1218,,,Radom,
331,Grzegorz,Styczen,Politechnika Krolewska,Szczecinek,III,931,,,Szczecinek,
332,Agata,Babulak,Politechnika Krolewska,Lwowek Slaski,I,2170,,,Lwowek Slaski,
333,Ewelina,Kocharyan,Politechnika Informatyczno-Elektroniczna,Zory,I,1118,,,Zory,
334,Barbara,Solska,Uniwersytet Sportu i Turystyki,Rogoznik,I,678,,,Rogoznik,
335,Dominik,Kondratowicz,Uniwersytet Krolewski,Pszczyna,V,2209,,,Pszczyna,
336,Kacper,Wozniak,Uniwersytet Pedagogiczny,Lublin,V,1897,,,Lublin,
337,Jagna,Meller,Politechnika Informatyczno-Elektroniczna,Koniakow,V,3247,,,Koniakow,
338,Gabriela,Mroz,Uniwersytet Krolewski,Siemianowice Slaskie,I,1033,,,Siemianowice Slaskie,
339,Mateusz,Bernacki,Uniwersytet Krolewski,Wroclaw,III,846,,,Wroclaw,
340,Anna,Cender,Uniwersytet Pedagogiczny,Miechow,I,2190,,,Miechow,
341,Ewa,Seweryn,Uniwersytet Krolewski,Raciborz,I,1206,,,Raciborz,
342,Roza,Biernaczyk,Politechnika Krolewska,Rybnik,IV,378,,,Rybnik,
343,Andrzej,Pyza,Politechnika Krolewska,Nowy Sacz,I,788,,,Nowy Sacz,
344,Henryk,Mordyan,Politechnika Informatyczno-Elektroniczna,Tarnobrzeg,I,1126,,,Tarnobrzeg,
345,Oskar,Szanca,Politechnika Krolewska,Raciborz,I,2257,,,Raciborz,
346,Jakub,Kucharski,Politechnika Krolewska,Szamotuly,III,2144,,,Szamotuly,
347,Jan,Krzyzewski,Uniwersytet Rolniczy,Ogrodzieniec,II,1379,,,Ogrodzieniec,
348,Jan,Dziekan,Politechnika Krolewska,Siemianowice Slaskie,I,2815,,,Siemianowice Slaskie,
349,Zofia,Kajzer,Uniwersytet Rolniczy,Debowiec,II,905,,,Debowiec,
350,Iwona,Pawlowska,Uniwersytet Ekonomiczny,Lublin,III,2942,,,Lublin,
351,Oktawian,Kadej,Akademia Sztuk Pieknych,Ogrodniki,I,2668,,,Ogrodniki,
352,Jadwiga,Beben,Politechnika Informatyczno-Elektroniczna,Kuznia Raciborska,V,2998,,,Kuznia Raciborska,
353,Katarzyna,Czader,Politechnika Krolewska,Nowy Sacz,I,353,,,Nowy Sacz,
354,Zuzanna,Rutkowska,Politechnika Informatyczno-Elektroniczna,Rybnik,I,2320,,,Rybnik,
355,Franciszek,Mikulski,Politechnika Informatyczno-Elektroniczna,Wojkowice,II,598,,,Wojkowice,
356,Aleksander,Chinski,Politechnika Informatyczno-Elektroniczna,Wroclaw,I,3251,,,Wroclaw,
357,Bartlomiej,Kardys,Uniwersytet Krolewski,Izbica Kujawska,I,1646,,,Izbica Kujawska,
358,Katarzyna,Pakulska,Uniwersytet Krolewski,Jaworzynka,I,767,,,Jaworzynka,
359,Jakub,Piotrowski,Politechnika Informatyczno-Elektroniczna,Tychy,III,513,,,Tychy,
360,Irena,Fudecka,Politechnika Informatyczno-Elektroniczna,Pilica,I,3215,,,Pilica,
361,Krzysztof,Lis,Politechnika Informatyczno-Elektroniczna,Gliwice,I,2032,,,Gliwice,
362,Grazyna,Chojacka,Politechnika Informatyczno-Elektroniczna,Ogrodzieniec,I,2543,,,Ogrodzieniec,
363,Kamil,Tokarz,Uniwersytet Rolniczy,Szczecinek,V,880,,,Szczecinek,
364,Agnieszka,Nawrot,Politechnika Informatyczno-Elektroniczna,Przemysl,I,1142,,,Przemysl,
365,Ewa,Chiluta,Politechnika Krolewska,Nowy Targ,I,1924,,,Nowy Targ,
366,Joanna,Chodyra,Politechnika Krolewska,Koniakow,I,3225,,,Koniakow,
367,Jacek,Winogrodzki,Politechnika Informatyczno-Elektroniczna,Ogrodniki,I,1004,,,Ogrodniki,
368,Karol,Anarchista,Politechnika Informatyczno-Elektroniczna,Dabrowa Gornicza,II,2716,,,Dabrowa Gornicza,
369,Walery,Latka,Politechnika Informatyczno-Elektroniczna,Plock,V,1126,,,Plock,
370,Jaroslaw,Sierpien,Politechnika Informatyczno-Elektroniczna,Tarnowskie Gory,III,831,,,Tarnowskie Gory,
371,Kaja,Karnawal,Politechnika Informatyczno-Elektroniczna,Klomnice,IV,2377,,,Klomnice,
372,Andrzej,Smietanka,Uniwersytet Krolewski,Szczekociny,I,1447,,,Szczekociny,
373,Eustachy,Banaszek,Uniwersytet Krolewski,Siemianowice Slaskie,I,2407,,,Siemianowice Slaskie,
374,Barbara,Marczak,Politechnika Informatyczno-Elektroniczna,Sosnowiec,I,1566,,,Sosnowiec,
375,Jaroslaw,Kata,Uniwersytet Ekonomiczny,Lublin,I,2437,,,Lublin,
376,Urszula,Wawrzynczyk,Politechnika Informatyczno-Elektroniczna,Katowice,II,856,,,Katowice,
377,Anita,Wiwatowicz,Politechnika Informatyczno-Elektroniczna,Rabka,I,399,,,Rabka,
378,Weronika,Zawadzka,Uniwersytet Krolewski,Ciechanow,I,1859,,,Ciechanow,
379,Wioletta,Kucharska,Politechnika Krolewska,Baborow,II,1209,,,Baborow,
380,Piotr,Banalow,Uniwersytet Sportu i Turystyki,Zamosc,I,1025,,,Zamosc,
381,Anna,Kaczmarek,Politechnika Informatyczno-Elektroniczna,Terespol,III,2076,,,Terespol,
382,Ewelina,Ewertowska,Politechnika Informatyczno-Elektroniczna,Pyrzowice,I,2601,,,Pyrzowice,
383,Slawomira,Czerwiec,Uniwersytet Krolewski,Chelm,V,2207,,,Chelm,
384,Ewa,Skrzeliczka,Uniwersytet Sportu i Turystyki,Sosnowiec,I,2312,,,Sosnowiec,
385,Martyna,Piotrkowska,Uniwersytet Krolewski,Myszkow,I,1137,,,Myszkow,
386,Tomasz,Nawrot,Politechnika Informatyczno-Elektroniczna,Leszno,II,383,,,Leszno,
387,Kamil,Kildarewicz,Uniwersytet Krolewski,Tomaszow Lubelski,I,1834,,,Tomaszow Lubelski,
388,Wlodzimierz,Komik,Politechnika Informatyczno-Elektroniczna,Radom,III,1032,,,Radom,
389,Bartlomiej,Wrzesien,Uniwersytet Krolewski,Swietochlowice,IV,2639,,,Swietochlowice,
390,Emilia,Katanak,Politechnika Informatyczno-Elektroniczna,Gliwice,I,1422,,,Gliwice,
391,Bartosz,Pawlowski,Politechnika Informatyczno-Elektroniczna,Zambrow,I,1150,,,Zambrow,
392,Krzysztof,Nisiewicz,Uniwersytet Krolewski,Oborniki,I,1280,,,Oborniki,
393,Barbara,Mianowska,Politechnika Informatyczno-Elektroniczna,Sosnowiec,I,486,,,Sosnowiec,
394,Adam,Loziczonek,Politechnika Informatyczno-Elektroniczna,Kuznia Raciborska,II,2100,,,Kuznia Raciborska,
395,Karol,Antonowicz,Politechnika Informatyczno-Elektroniczna,Siedlce,I,654,,,Siedlce,
396,Anna,Klemczak,Politechnika Informatyczno-Elektroniczna,Rabka,I,1814,,,Rabka,
397,Mieczyslawa,Szymczyk,Politechnika Informatyczno-Elektroniczna,Tychy,I,1136,,,Tychy,
398,Karol,Zalewski,Politechnika Informatyczno-Elektroniczna,Leszno,I,2978,,,Leszno,
399,Seweryna,Kotek,Politechnika Informatyczno-Elektroniczna,Bielsko - Biala,II,949,,,Bielsko - Biala,
400,Jowita,Adamska,Politechnika Informatyczno-Elektroniczna,Elblag,IV,1771,,,Elblag,
401,Tomasz,Niczyj,Politechnika Krolewska,Naleczow,V,3295,,,Naleczow,
402,Maja,Mazurkiewicz,Politechnika Krolewska,Istebna,I,511,,,Istebna,
403,Alicja,Fedoruk,Politechnika Krolewska,Sanok,I,2482,,,Sanok,
404,Jan,Ciebiera,Politechnika Informatyczno-Elektroniczna,Katowice,I,2898,,,Katowice,
405,Urszula,Sielecka,Uniwersytet Krolewski,Bozewo,II,435,,,Bozewo,
406,Ewelina,Katowicka,Politechnika Informatyczno-Elektroniczna,Chyzne,I,2357,,,Chyzne,
407,Kinga,Wronska,Politechnika Informatyczno-Elektroniczna,Lubaczow,II,3271,,,Lubaczow,
408,Ewa,Gruszczynska,Wyzsza Szko�a Techniczna,Olkusz,I,3337,,,Olkusz,
409,Jan,Urbanski,Wyzsza Szko�a Techniczna,Czestochowa,I,2124,,,Czestochowa,
410,Leslaw,Pawlica,Politechnika Krolewska,Szczekociny,I,3258,,,Szczekociny,
411,Barbara,Przybylek,Uniwersytet Sportu i Turystyki,Izbica Kujawska,III,2187,,,Izbica Kujawska,
412,Roza,Szklarczyk,Politechnika Informatyczno-Elektroniczna,Pyrzyce,II,2605,,,Pyrzyce,
413,Anastazja,Gruzin,Politechnika Informatyczno-Elektroniczna,Kedzierzyn-Kozle,V,983,,,Kedzierzyn-Kozle,
414,Dawid,Trzebiatowski,Politechnika Informatyczno-Elektroniczna,Przasnysz,I,2037,,,Przasnysz,
415,Roman,Hajtowicz,Uniwersytet Krolewski,Myszkow,III,751,,,Myszkow,
416,Ewelia,Kolanko,Uniwersytet Krolewski,Dabrowa Gornicza,I,3336,,,Dabrowa Gornicza,
417,Mateusz,Majewski,Politechnika Informatyczno-Elektroniczna,Gliwice,II,2270,,,Gliwice,
418,Jaroslaw,Krema,Politechnika Informatyczno-Elektroniczna,Chorzow,V,1777,,,Chorzow,
419,Lucyna,Arabas,Politechnika Krolewska,Zamosc,I,1000,,,Zamosc,
420,Mateusz,Orlicki,Politechnika Informatyczno-Elektroniczna,Kedzierzyn-Kozle,I,2467,,,Kedzierzyn-Kozle,
421,Sebastian,Alot,Politechnika Informatyczno-Elektroniczna,Ostroleka,II,634,,,Ostroleka,
422,Jadwiga,Bober,Uniwersytet Sportu i Turystyki,Naleczow,IV,3025,,,Naleczow,
423,Gracja,Kozlowska,Uniwersytet Krolewski,Limanowa,I,3330,,,Limanowa,
424,Tomasz,Bronikowski,Politechnika Informatyczno-Elektroniczna,Konin,I,1304,,,Konin,
425,Andrzej,Latacki,Uniwersytet Krolewski,Pilica,II,1518,,,Pilica,
426,Kamil,Babula,Politechnika Informatyczno-Elektroniczna,Rybnik,I,1058,,,Rybnik,
427,Czeslaw,Augustyneczek,Politechnika Krolewska,Tychy,I,524,,,Tychy,
428,Anna,Hebda,Politechnika Informatyczno-Elektroniczna,Wroclaw,V,1070,,,Wroclaw,
429,Bartosz,Bonkowski,Politechnika Informatyczno-Elektroniczna,Swietochlowice,I,983,,,Swietochlowice,
430,Jozefa,Wysocka,Politechnika Informatyczno-Elektroniczna,Wroclaw,II,2497,,,Wroclaw,
431,Justyna,Firlej,Uniwersytet Rolniczy,Prudnik,I,1919,,,Prudnik,
432,Jadwiga,Wawer,Uniwersytet Krolewski,Sosnicowice,II,2672,,,Sosnicowice,
433,Michal,Klimisz,Politechnika Informatyczno-Elektroniczna,Tarnow,III,3092,,,Tarnow,
434,Agnieszka,Bartkowiak,Politechnika Informatyczno-Elektroniczna,Zawiercie,I,3034,,,Zawiercie,
435,Ryszard,Siennicki,Uniwersytet Ekonomiczny,Wojkowice,II,2978,,,Wojkowice,
436,Marta,Gilowska,Politechnika Informatyczno-Elektroniczna,Jaslo,I,1572,,,Jaslo,
437,Honorata,Caban,Politechnika Informatyczno-Elektroniczna,Kogutek,II,689,,,Kogutek,
438,Franciszek,Szybinski,Politechnika Krolewska,Lublin,V,1776,,,Lublin,
439,Emila,Nikiel,Uniwersytet Krolewski,Rajcza,I,1849,,,Rajcza,
440,Jan,Jasinski,Politechnika Krolewska,Swiecko,I,962,,,Swiecko,
441,Halina,Lakomska,Uniwersytet Krolewski,Brzesko,I,863,,,Brzesko,
442,Teofil,Wina,Politechnika Krolewska,Rzeszow,IV,1963,,,Rzeszow,
443,Teresa,Krzesaj,Politechnika Informatyczno-Elektroniczna,Siemianowice Slaskie,II,2126,,,Siemianowice Slaskie,
444,Karol,Mroczek,Politechnika Informatyczno-Elektroniczna,Jaworzynka,V,2947,,,Jaworzynka,
445,Jagna,Urban,Politechnika Krolewska,Olsztyn,I,1098,,,Olsztyn,
446,Szymon,Maron,Politechnika Krolewska,Mikolow,IV,2372,,,Mikolow,
447,Lucjusz,Tokarczyk,Politechnika Informatyczno-Elektroniczna,Mikolajki,II,985,,,Mikolajki,
448,Krzysztof,Badura,Uniwersytet Ekonomiczny,Mikolow,I,637,,,Mikolow,
449,Konstanty,Banasikowski,Politechnika Informatyczno-Elektroniczna,Alwernia,I,2568,,,Alwernia,
450,Krzysztof,Lipinski,Uniwersytet Muzyczny,Naleczow,I,2635,,,Naleczow,
451,Anna,Dworecka,Politechnika Krolewska,Walbrzych,I,2106,,,Walbrzych,
452,Kinga,Celeborska,Politechnika Informatyczno-Elektroniczna,Gostyn,I,940,,,Gostyn,
453,Mateusz,Bednarek,Politechnika Informatyczno-Elektroniczna,Legionowo,I,507,,,Legionowo,
454,Stanislaw,Anczewski,Politechnika Informatyczno-Elektroniczna,Swietochlowice,II,2305,,,Swietochlowice,
455,Szymon,Wawron,Uniwersytet Krolewski,Katowice,II,3312,,,Katowice,
456,Danuta,Banaszczykiewicz,Politechnika Informatyczno-Elektroniczna,Ogrodzieniec,I,2423,,,Ogrodzieniec,
457,Tymon,Abacki,Uniwersytet Ekonomiczny,Kedzierzyn-Kozle,III,963,,,Kedzierzyn-Kozle,
458,Ewelina,Blada,Politechnika Informatyczno-Elektroniczna,Terespol,IV,1961,,,Terespol,
459,Wieslawa,Bedynska,Uniwersytet Krolewski,Koniakow,II,593,,,Koniakow,
460,Bartosz,Dudek,Politechnika Informatyczno-Elektroniczna,Swiecko,IV,2948,,,Swiecko,
461,Tomasz,Kaczmarek,Uniwersytet Ekonomiczny,Wodzislaw Slaski,I,1140,,,Wodzislaw Slaski,
462,Aleksander,Adamczyk,Uniwersytet Rolniczy,Mirow,V,1260,,,Mirow,
463,Kinga,Kawka,Uniwersytet Krolewski,Olkusz,I,2512,,,Olkusz,
464,Morfeusz,Grodecki,Akademia Sztuk Pieknych,Chelm,I,1713,,,Chelm,
465,Jerzy,Bodnarczyk,Politechnika Informatyczno-Elektroniczna,Piechowice,I,3260,,,Piechowice,
466,Paulina,Dykiel,Politechnika Informatyczno-Elektroniczna,Jastrzebie-Zdroj,I,1995,,,Jastrzebie-Zdroj,
467,Adam,Bednarczyk,Politechnika Informatyczno-Elektroniczna,Krapkowice,I,1303,,,Krapkowice,
468,Barbara,Olszewska,Uniwersytet Krolewski,Baborow,IV,1528,,,Baborow,
469,Wieslawa,Barcisz,Politechnika Krolewska,Oswiecim,II,1278,,,Oswiecim,
470,Pawel,Kowal,Uniwersytet Krolewski,Wadowice,V,3125,,,Wadowice,
471,Monika,Rybicka,Uniwersytet Ekonomiczny,Kedzierzyn-Kozle,I,1111,,,Kedzierzyn-Kozle,
472,Adam,Grabczak,Uniwersytet Rolniczy,Limanowa,IV,1116,,,Limanowa,
473,Jan,Kozak,Uniwersytet Pedagogiczny,Elk,III,3021,,,Elk,
474,Wiera,Augustowska,Politechnika Informatyczno-Elektroniczna,Klomnice,II,872,,,Klomnice,
475,Lew,Wiejski,Akademia Sztuk Pieknych,Katowice,I,1787,,,Katowice,
476,Boguslawa,Sobota,Politechnika Informatyczno-Elektroniczna,Siemianowice Slaskie,II,2866,,,Siemianowice Slaskie,
477,Miroslaw,Chochowski,Akademia Sztuk Pieknych,Tarnobrzeg,I,2625,,,Tarnobrzeg,
478,Halina,Kuchar,Politechnika Krolewska,Katowice,I,859,,,Katowice,
479,Zbigniew,Zajac,Uniwersytet Krolewski,Wadowice,V,1589,,,Wadowice,
480,Edyta,Klan,Politechnika Krolewska,Sosnowiec,V,1683,,,Sosnowiec,
481,Celina,Krotoszyn,Uniwersytet Krolewski,Bedzin,III,3139,,,Bedzin,
482,Katarzyna,Skutnik,Politechnika Informatyczno-Elektroniczna,Siedlce,I,3124,,,Siedlce,
483,Krzysztof,But,Politechnika Krolewska,Rybnik,IV,2273,,,Rybnik,
484,Bartosz,Zalecki,Politechnika Informatyczno-Elektroniczna,Bytom,I,1127,,,Bytom,
485,Irena,Tarnowska,Uniwersytet Pedagogiczny,Suwalki,I,2158,,,Suwalki,
486,Piotr,Murarz,Politechnika Krolewska,Nysa,III,2893,,,Nysa,
487,Justyna,Biegaj,Politechnika Krolewska,Swinoujscie,I,1770,,,Swinoujscie,
488,Bohdan,Mrozowski,Politechnika Informatyczno-Elektroniczna,Piwniczna-Zdroj,I,2851,,,Piwniczna-Zdroj,
489,Karina,Kwiatkowska,Politechnika Informatyczno-Elektroniczna,Biala Podlaska,IV,2751,,,Biala Podlaska,
490,Katarzyna,Kruczek,Politechnika Informatyczno-Elektroniczna,Tomaszow Lubelski,I,2107,,,Tomaszow Lubelski,
491,Anna,Barska,Politechnika Informatyczno-Elektroniczna,Ogrodzieniec,II,1047,,,Ogrodzieniec,
492,Marek,Piec,Uniwersytet Krolewski,Kruszwica,V,3259,,,Kruszwica,
493,Marek,Grzeszczak,Uniwersytet Krolewski,Mikolow,I,508,,,Mikolow,
494,Leslaw,Bak,Politechnika Krolewska,Ustron,I,2799,,,Ustron,
495,Franciszka,Czemisow,Politechnika Informatyczno-Elektroniczna,Gorki Male,II,456,,,Gorki Male,
496,Michal,Sawicki,Politechnika Informatyczno-Elektroniczna,Olkusz,II,451,,,Olkusz,
497,Sabina,Balcerek,Uniwersytet Krolewski,Jaslo,II,1840,,,Jaslo,
498,Aleksandra,Cichawacz,Politechnika Krolewska,Swieradow-Zdroj,I,3169,,,Swieradow-Zdroj,
499,Kinga,Mlynarczyk,Uniwersytet Krolewski,Sosnowiec,II,2543,,,Sosnowiec,
500,Witold,Kupis,Uniwersytet Krolewski,Slawkow,II,1760,,,Slawkow,
501,Janusz,Bokowski,Uniwersytet Pedagogiczny,Bielsko - Biala,I,2891,,,Bielsko - Biala,
502,Elzbieta,Jaworska,Akademia Sztuk Pieknych,Glucholazy,II,804,,,Glucholazy,
503,Marzena,Por,Uniwersytet Krolewski,Rajcza,II,2715,,,Rajcza,
504,Beata,Wittek,Politechnika Informatyczno-Elektroniczna,Tarnobrzeg,V,1008,,,Tarnobrzeg,
505,Wojciech,Rydawski,Politechnika Krolewska,Walbrzych,II,2711,,,Walbrzych,
506,Nikodem,Dyzma,Politechnika Informatyczno-Elektroniczna,Rogoznik,II,3079,,,Rogoznik,
507,Wanda,Szalobryt,Politechnika Krolewska,Bielsko - Biala,II,701,,,Bielsko - Biala,
508,Andrzej,Okon,Politechnika Krolewska,Szczyrk,III,1556,,,Szczyrk,
509,Anita,Chalbinska,Politechnika Informatyczno-Elektroniczna,Witonia,I,1772,,,Witonia,
510,Agnieszka,Badowska,Politechnika Krolewska,Nowy Targ,I,1372,,,Nowy Targ,
511,Tomasz,Kajdasiewicz,Politechnika Informatyczno-Elektroniczna,Czestochowa,III,1486,,,Czestochowa,
512,Piotr,Januszewski,Politechnika Krolewska,Przemysl,I,1613,,,Przemysl,
513,Edyta,Styczen,Uniwersytet Krolewski,Bydgoszcz,V,3105,,,Bydgoszcz,
514,Iwona,Andrzejewska,Uniwersytet Krolewski,Ruda Slaska,I,2241,,,Ruda Slaska,
515,Danuta,Kapusta,Politechnika Informatyczno-Elektroniczna,Myszkow,I,2708,,,Myszkow,
516,Ruta,Sawa,Uniwersytet Krolewski,Myslowice,II,2726,,,Myslowice,
517,Izabella,Cieslak,Uniwersytet Ekonomiczny,Suraz,I,1100,,,Suraz,
518,Tadeusz,Krason,Politechnika Informatyczno-Elektroniczna,Mlynarze,IV,1894,,,Mlynarze,
519,Marcin,Gorgon,Politechnika Krolewska,Pyrzowice,V,2681,,,Pyrzowice,
520,Witold,Halama,Uniwersytet Krolewski,Gryfice,II,1557,,,Gryfice,
